"name","lat","lon","sector"
"Fort Lewis College",37.275428,-107.867003,"Public"
"Iliff School of Theology",39.674876,-104.959703,"Private"
"Colorado Mesa University",39.076354,-108.540281,"Public"
"Metropolitan State University of Denver",39.742248,-105.002391,"Public"
"Naropa University",40.014816,-105.267073,"Private"
"Nazarene Bible College",38.814124,-104.751124,"Private"
"University of Northern Colorado",40.403178,-104.701721,"Public"
"Regis University",39.78976,-105.031385,"Private"
"Montessori Education Center of the Rockies",39.96504,-105.25311,"Private"
"Colorado State UniversityPueblo",38.309219,-104.579846,"Public"
"United States Air Force Academy",39.011073,-104.888747,"Public"
"Western State Colorado University",38.547421,-106.91971,"Public"
"Albertus Magnus College",41.332519,-72.923848,"Private"
"University of Bridgeport",41.165587,-73.189352,"Private"
"Central Connecticut State University",41.690258,-72.770094,"Public"
"Charter Oak State College",41.688246,-72.767972,"Public"
"Connecticut College",41.379833,-72.107321,"Private"
"University of Connecticut",41.806261,-72.247969,"Public"
"Goodwin College",41.74405,-72.6403,"Private"
"Eastern Connecticut State University",41.721673,-72.218753,"Public"
"Fairfield University",41.160732,-73.25778,"Private"
"Rensselaer Hartford Graduate Center Inc",41.773462,-72.673916,"Private"
"Hartford Seminary",41.769861,-72.707766,"Private"
"University of Hartford",41.796485,-72.714965,"Private"
"Holy Apostles College and Seminary",41.60682,-72.647853,"Private"
"Lyme Academy College of Fine Arts",41.322826,-72.329397,"Private"
"Mitchell College",41.328075,-72.095337,"Private"
"University of New Haven",41.291314,-72.961472,"Private"
"Quinnipiac University",41.419527,-72.895542,"Private"
"Sacred Heart University",41.221548,-73.24461,"Private"
"University of Saint Joseph",41.783028,-72.730489,"Private"
"St Vincents College",41.201198,-73.201106,"Private"
"Southern Connecticut State University",41.331852,-72.948806,"Public"
"Trinity College",41.746746,-72.688684,"Private"
"United States Coast Guard Academy",41.370261,-72.098839,"Public"
"Wesleyan University",41.55678,-72.656755,"Private"
"Western Connecticut State University",41.400365,-73.444264,"Public"
"YaleNew Haven Hospital Dietetic Internship",41.304214,-72.935579,"Private"
"Yale University",41.311158,-72.926688,"Private"
"Delaware State University",39.187173,-75.54053,"Public"
"University of Delaware",39.679574,-75.752917,"Public"
"GoldeyBeacom College",39.742464,-75.694018,"Private"
"Wesley College",39.16325,-75.527377,"Private"
"Wilmington University",39.682299,-75.586998,"Private"
"American University",38.937802,-77.090106,"Private"
"Catholic University of America",38.935796,-76.998961,"Private"
"University of the District of Columbia",38.943819,-77.066247,"Public"
"Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies",38.931427,-76.998806,"Private"
"Gallaudet University",38.907371,-76.993675,"Private"
"George Washington University",38.89865,-77.047871,"Private"
"Georgetown University",38.908809,-77.073463,"Private"
"Howard University",38.920739,-77.019478,"Private"
"Trinity Washington University",38.927398,-77.004261,"Private"
"Wesley Theological Seminary",38.939606,-77.08996,"Private"
"The Baptist College of Florida",30.956401,-85.519033,"Private"
"Barry University",25.878865,-80.196136,"Private"
"BethuneCookman University",29.210193,-81.031429,"Private"
"Lynn University",26.382777,-80.123851,"Private"
"Eastern Florida State College",28.384791,-80.75813,"Public"
"Broward College",26.07972,-80.23541,"Public"
"Carlos Albizu UniversityMiami",25.795162,-80.355002,"Private"
"College of Central Florida",29.166079,-82.175692,"Public"
"Johnson University Florida",28.301869,-81.362512,"Private"
"University of Central Florida",28.60106,-81.198805,"Public"
"Chipola College",30.790647,-85.231946,"Public"
"Clearwater Christian College",27.963556,-82.697305,"Private"
"Daytona State College",29.202286,-81.051266,"Public"
"Eckerd College",27.718996,-82.685992,"Private"
"Florida SouthWestern State College",26.554737,-81.887375,"Public"
"Edward Waters College",30.34513,-81.684817,"Private"
"EmbryRiddle Aeronautical UniversityDaytona Beach",29.189244,-81.0495,"Private"
"Florida Agricultural and Mechanical University",30.428554,-84.285644,"Public"
"Florida Atlantic University",26.372536,-80.102293,"Public"
"Florida State College at Jacksonville",30.334918,-81.659901,"Public"
"Flagler CollegeSt Augustine",29.89335,-81.315256,"Private"
"Florida College",28.034911,-82.383446,"Private"
"Adventist University of Health Sciences",28.576142,-81.367687,"Private"
"Florida Institute of Technology",28.064503,-80.624628,"Private"
"Florida International University",25.757111,-80.377591,"Public"
"Florida Memorial University",25.917854,-80.270672,"Private"
"Florida Southern College",28.031507,-81.945791,"Private"
"Florida State University",30.4421,-84.294801,"Public"
"University of Florida",29.649428,-82.339958,"Public"
"Everest UniversityPompano Beach",26.234119,-80.103598,"Private"
"Gulf Coast State College",30.186104,-85.727249,"Public"
"Hobe Sound Bible College",27.066473,-80.132413,"Private"
"Indian River State College",27.423121,-80.35785,"Public"
"Jacksonville University",30.350349,-81.60706,"Private"
"Jones CollegeJacksonville",30.328002,-81.610068,"Private"
"Keiser UniversityFt Lauderdale",26.185869,-80.163959,"Private"
"Florida Gateway College",30.174307,-82.569667,"Public"
"LakeSumter State College",28.830237,-81.797731,"Public"
"Luther Rice University  Seminary",33.697984,-84.123648,"Private"
"State College of FloridaManateeSarasota",27.436066,-82.591739,"Public"
"Trinity International UniversityFlorida",26.099656,-80.257156,"Private"
"Miami Dade College",25.777717,-80.190856,"Public"
"University of Miami",25.720406,-80.27645,"Private"
"Remington CollegeTampa Campus",27.983466,-82.385976,"Private"
"University of North Florida",30.270917,-81.507853,"Public"
"Northwood UniversityFlorida",26.714688,-80.104138,"Private"
"Nova Southeastern University",26.079337,-80.24248,"Private"
"Northwest Florida State College",30.537148,-86.475467,"Public"
"Everest UniversityNorth Orlando",28.610884,-81.387438,"Private"
"Palm Beach Atlantic University",26.704629,-80.049758,"Private"
"Palm Beach State College",26.613214,-80.087104,"Public"
"PascoHernando State College",28.2751,-82.646727,"Public"
"Pensacola State College",30.480779,-87.200622,"Public"
"Polk State College",28.030775,-81.712932,"Public"
"Saint Vincent de Paul Regional Seminary",26.51582,-80.125707,"Private"
"Ringling College of Art and Design",27.35963,-82.548598,"Private"
"Rollins College",28.591992,-81.348716,"Private"
"Saint Leo University",28.336776,-82.257287,"Private"
"St Petersburg College",27.9026,-82.717321,"Public"
"Santa Fe College",29.680698,-82.433958,"Public"
"Seminole State College of Florida",28.74475,-81.305606,"Public"
"Saint John Vianney College Seminary",25.742579,-80.337411,"Private"
"Saint Johns River State College",29.647195,-81.681137,"Public"
"South Florida State College",27.569553,-81.508387,"Public"
"University of South FloridaMain Campus",28.056647,-82.415876,"Public"
"St Thomas University",25.920915,-80.256265,"Private"
"Stetson University",29.036295,-81.301604,"Private"
"Southeastern University",28.031864,-81.918997,"Private"
"Talmudic College of Florida",25.7949,-80.141334,"Private"
"Everest UniversityTampa",27.996582,-82.497616,"Private"
"Everest UniversityLargo",27.915296,-82.775886,"Private"
"The University of Tampa",27.947225,-82.465582,"Private"
"Trinity Baptist College",30.323755,-81.705655,"Private"
"Trinity College of Florida",28.194222,-82.677065,"Private"
"Valencia College",28.52092,-81.471181,"Public"
"Warner University",27.825751,-81.599972,"Private"
"Webber International University",27.838798,-81.532325,"Private"
"The University of West Florida",30.542855,-87.218125,"Public"
"Abraham Baldwin Agricultural College",31.481889,-83.528281,"Public"
"Agnes Scott College",33.769996,-84.29563,"Private"
"Darton State College",31.583594,-84.212087,"Public"
"Albany State University",31.571395,-84.14306,"Public"
"Armstrong State University",31.978109,-81.160409,"Public"
"Point University",32.879715,-85.185134,"Private"
"Atlanta Metropolitan State College",33.70893,-84.404659,"Public"
"Clark Atlanta University",33.748772,-84.412818,"Private"
"Bainbridge State College",30.899474,-84.535049,"Public"
"Berry College",34.289254,-85.189077,"Private"
"Beulah Heights University",33.737022,-84.358086,"Private"
"Brenau University",34.303117,-83.821513,"Private"
"BrewtonParker College",32.185718,-82.586136,"Private"
"College of Coastal Georgia",31.182741,-81.486086,"Public"
"Carver Bible College",33.7236,-84.515091,"Private"
"Clayton  State University",33.594079,-84.328174,"Public"
"Columbia Theological Seminary",33.764108,-84.282978,"Private"
"Columbus State University",32.501556,-84.940796,"Public"
"Covenant College",34.963327,-85.37496,"Private"
"Dalton State College",34.77496,-85.00289,"Public"
"East Georgia State College",32.59577,-82.308486,"Public"
"Emmanuel College",34.282617,-83.146825,"Private"
"Emory University",33.798836,-84.325782,"Private"
"Georgia Highlands College",34.169791,-85.207356,"Public"
"Fort Valley State University",32.538163,-83.895548,"Public"
"Georgia Institute of TechnologyMain Campus",33.773732,-84.396019,"Public"
"Georgia Southwestern State University",32.058198,-84.217755,"Public"
"Georgia College and State University",33.082787,-83.231962,"Public"
"Georgia Southern University",32.427756,-81.782201,"Public"
"Georgia State University",33.7527,-84.38667,"Public"
"University of Georgia",33.956428,-83.374049,"Public"
"Gordon State College",33.045208,-84.152548,"Public"
"Interdenominational Theological Center",33.754904,-84.410337,"Private"
"Kennesaw State University",34.03629,-84.58083,"Public"
"LaGrange College",33.039713,-85.041394,"Private"
"Life University",33.932104,-84.514156,"Private"
"Mercer University",32.831709,-83.650114,"Private"
"Morehouse College",33.74793,-84.415156,"Private"
"Morehouse School of Medicine",33.742549,-84.411958,"Private"
"Oglethorpe University",33.875939,-84.334756,"Private"
"Paine College",33.469259,-81.991199,"Private"
"Piedmont College",34.56663,-83.543216,"Private"
"Reinhardt University",34.318874,-84.554657,"Private"
"Savannah College of Art and Design",32.072966,-81.093905,"Private"
"Savannah State University",32.024781,-81.063377,"Public"
"Shorter University",34.258192,-85.196213,"Private"
"Spelman College",33.74519,-84.410118,"Private"
"Southern Polytechnic State University",33.938992,-84.519276,"Public"
"Thomas University",30.813954,-83.981478,"Private"
"Toccoa Falls College",34.59554,-83.353462,"Private"
"TruettMcConnell College",34.594437,-83.745972,"Private"
"Valdosta State University",30.849236,-83.289925,"Public"
"Wesleyan College",32.874648,-83.717186,"Private"
"University of West Georgia",33.574421,-85.099007,"Public"
"Young Harris College",34.93316,-83.847765,"Private"
"Chaminade University of Honolulu",21.290274,-157.807642,"Private"
"University of Hawaii at Hilo",19.701854,-155.081329,"Public"
"University of Hawaii at Manoa",21.292648,-157.816607,"Public"
"Hawaii Pacific University",21.31027,-157.859401,"Private"
"University of Hawaii Maui College",20.890561,-156.479854,"Public"
"World Medicine Institute",21.296439,-157.754719,"Private"
"University of HawaiiWest Oahu",21.354897,-158.061825,"Public"
"Boise Bible College",43.657437,-116.290607,"Private"
"Boise State University",43.604403,-116.205789,"Public"
"Idaho State University",42.864108,-112.429084,"Public"
"University of Idaho",46.726894,-117.024296,"Public"
"The College of Idaho",43.652653,-116.676838,"Private"
"LewisClark State College",46.410034,-117.026371,"Public"
